02178,Belmont,Massachusetts,MA,Middlesex,42.4464,-71.4594,
20197,Waterford,Virginia,VA,Loudoun,39.1882,-77.63,
20198,The Plains,Virginia,VA,Fauquier,38.8707,-77.7608,
20199,Dulles,Virginia,VA,Loudoun,39.0853,-77.6452,
20201,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20202,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20203,Washington,District of Columbia,DC,District of Columbia,38.9053,-77.0466,
20204,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20205,Washington,District of Columbia,DC,,38.905,-77.0162,
20206,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20207,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20208,Washington,District of Columbia,DC,District of Columbia,38.8966,-77.0117,
20209,Washington,District of Columbia,DC,,38.905,-77.0162,
20210,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20211,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20212,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20213,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20214,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20215,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20216,Washington,District of Columbia,DC,District of Columbia,38.8919,-77.0141,
20217,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20218,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20219,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20220,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20221,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20222,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20223,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20224,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20226,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20227,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20228,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20229,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20230,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20231,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20232,Washington,District of Columbia,DC,District of Columbia,38.9006,-77.0391,
20233,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20235,Washington,District of Columbia,DC,District of Columbia,38.9154,-77.0572,
20237,Washington,District of Columbia,DC,District Of Columbia,38.895,-77.0367,
20238,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20239,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20240,Washington,District of Columbia,DC,District of Columbia,38.8971,-77.0409,
20241,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20242,Washington,District of Columbia,DC,District of Columbia,38.8678,-77.0289,
20244,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20245,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20250,Washington,District of Columbia,DC,District of Columbia,38.8873,-77.0327,
20251,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20254,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20260,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20261,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20262,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20265,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20266,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20268,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20270,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20277,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20289,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20292,Washington,District of Columbia,DC,,38.9164,-76.9948,
20299,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20301,Washington,District of Columbia,DC,District of Columbia,38.8894,-77.0311,
20303,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20306,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20307,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20310,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20314,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20315,Washington,District of Columbia,DC,District of Columbia,38.9289,-77.0179,
20317,Washington,District of Columbia,DC,District of Columbia,38.9363,-77.0123,
20318,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20319,Washington,District of Columbia,DC,District of Columbia,38.8667,-77.0166,
20330,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20331,Washington,District of Columbia,DC,,38.9027,-76.9764,
20332,Washington,District of Columbia,DC,District of Columbia,38.8346,-77.0158,
20335,Andrews A F B,District of Columbia,DC,,38.8022,-76.8857,
20336,Washington,District of Columbia,DC,District of Columbia,38.8395,-77.0148,
20337,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20338,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20340,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20350,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20355,Washington,District of Columbia,DC,,38.8951,-77.0369,
20370,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20372,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20373,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20374,Washington,District of Columbia,DC,District of Columbia,38.8555,-77.0022,
20375,Washington,District of Columbia,DC,District of Columbia,38.8262,-77.0174,
20376,Washington Navy Yard,District of Columbia,DC,District Of Columbia,38.9164,-76.9947,
20380,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20388,Washington,District of Columbia,DC,District of Columbia,38.8726,-76.9966,
20389,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20390,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20391,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20392,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20393,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20394,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20395,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20396,Washington,District of Columbia,DC,,38.9164,-76.9948,
20397,Washington,District of Columbia,DC,,38.9164,-76.9948,
20398,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20401,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20402,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20403,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20404,Washington,District of Columbia,DC,District of Columbia,38.8992,-77.0089,
20405,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20406,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20407,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20408,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20409,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20410,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20411,Washington,District of Columbia,DC,District of Columbia,38.884,-77.0221,
20412,Washington,District of Columbia,DC,District of Columbia,38.8953,-77.0221,
20413,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20414,Washington,District of Columbia,DC,District of Columbia,38.884,-77.0221,
20415,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20416,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20418,Washington,District of Columbia,DC,District of Columbia,38.9043,-77.0572,
20419,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20420,Washington,District of Columbia,DC,District of Columbia,38.9035,-77.0276,
20421,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20422,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20423,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20424,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20425,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20426,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20427,Washington,District of Columbia,DC,District of Columbia,38.9021,-77.0476,
20428,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20429,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20430,Washington,District of Columbia,DC,,38.9164,-76.9948,
20431,Washington,District of Columbia,DC,District of Columbia,38.8986,-77.0428,
20433,Washington,District of Columbia,DC,District of Columbia,38.9,-77.042,
20434,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20435,Washington,District of Columbia,DC,District of Columbia,38.8994,-77.0403,
20436,Washington,District of Columbia,DC,District of Columbia,38.8959,-77.0211,
20437,Washington,District of Columbia,DC,District of Columbia,38.9028,-77.0485,
20439,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20440,Washington,District of Columbia,DC,District of Columbia,38.9139,-77.0453,
20441,Washington,District of Columbia,DC,District of Columbia,38.9239,-77.0363,
20442,Washington,District of Columbia,DC,District of Columbia,38.896,-77.0177,
20444,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20447,Washington,District of Columbia,DC,District of Columbia,38.8847,-77.0252,
20451,Washington,District of Columbia,DC,District of Columbia,38.8977,-77.0444,
20453,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20456,Washington,District of Columbia,DC,District of Columbia,38.8981,-77.0401,
20460,Washington,District of Columbia,DC,District of Columbia,38.8764,-77.0188,
20463,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20468,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20469,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20470,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20472,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20500,Washington,District of Columbia,DC,District of Columbia,38.8946,-77.0355,
20501,Washington,District of Columbia,DC,District of Columbia,38.8987,-77.0362,
20502,Washington,District of Columbia,DC,District of Columbia,38.8987,-77.0362,
20503,Washington,District of Columbia,DC,District of Columbia,38.9007,-77.0431,
20504,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20505,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20506,Washington,District of Columbia,DC,District of Columbia,38.8994,-77.0377,
20507,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20508,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20509,Washington,District of Columbia,DC,,38.8987,-77.0356,
20510,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20511,Washington,District of Columbia,DC,,38.8407,-77.0167,
20515,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20520,Washington,District of Columbia,DC,District of Columbia,38.8932,-77.049,
20521,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20522,Washington,District of Columbia,DC,District of Columbia,38.8932,-77.049,
20523,Washington,District of Columbia,DC,District of Columbia,38.8945,-77.0478,
20524,Washington,District of Columbia,DC,District of Columbia,38.9024,-77.0326,
20525,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20526,Washington,District of Columbia,DC,District of Columbia,38.9022,-77.0437,
20527,Washington,District of Columbia,DC,District of Columbia,38.9029,-77.0361,
20528,Washington,District of Columbia,DC,,38.8951,-77.0369,
20529,Washington,District of Columbia,DC,,38.8973,-77.0142,
20530,Washington,District of Columbia,DC,District of Columbia,38.8976,-77.027,
20531,Washington,District of Columbia,DC,District of Columbia,38.8938,-77.0218,
20532,Washington,District of Columbia,DC,District of Columbia,38.9045,-77.0173,
20533,Washington,District of Columbia,DC,District of Columbia,38.9011,-77.0326,
20534,Washington,District of Columbia,DC,District of Columbia,38.8941,-77.0125,
20535,Washington,District of Columbia,DC,District of Columbia,38.8941,-77.0251,
20536,Washington,District of Columbia,DC,District of Columbia,38.9012,-77.0169,
20537,Washington,District of Columbia,DC,District of Columbia,38.8941,-77.0251,
20538,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20539,Washington,District of Columbia,DC,District of Columbia,38.8933,-77.0146,
20540,Washington,District of Columbia,DC,District of Columbia,38.8874,-77.0047,
20541,Washington,District of Columbia,DC,District of Columbia,38.8874,-77.0047,
